trat;rep;aaccm
102B;1;9,99704861112114
102B;2;10,21281250001084
102B;3;9,63656250001004
102B;4;10,29131944445580
102B;5;10,24611111112172
111B;1;9,49836805556442
111B;2;9,34482638889785
111B;3;9,80343750001048
111B;4;9,08732638889814
111B;5;9,59850694445522
112B;1;8,97413194445289
112B;2;9,41163194445035
112B;3;9,28597222223034
112B;4;9,03493055556355
112B;5;8,86833333333961
1A;1;6,87517361111495
1A;2;6,78159722222663
1A;3;8,53086805556195
1A;4;7,69378472222706
1A;5;7,55184027778341
36A;1;8,41906250000829
36A;2;9,44531250000909
36A;3;8,59913194445107
36A;4;8,97291666667661
36A;5;9,26236111112048
36B;1;8,79590277778516
36B;2;7,88923611111750
36B;3;8,67524305556253
36B;4;8,60003472222925
36B;5;9,06277777778523
98A;1;9,83031250000931
98A;2;9,77166666667690
98A;3;9,78565972223187
98A;4;9,58979166667596
98A;5;9,39159722223194
99A;1;8,87489583334027
99A;2;9,06329861111881
99A;3;8,71062500000698
99A;4;8,44868055556253
99A;5;7,68805555556210
TCOM;1;8,37208333334238
TCOM;2;8,80815972223063
TCOM;3;8,91399305556552
TCOM;4;8,89163194445318
TCOM;5;9,47659722223143
TEST;1;10,71319444445726
TEST;2;11,05326388890171
TEST;3;10,68958333334631
TEST;4;10,34138888890157
TEST;5;10,32329861112376
