oe;dose;rep;area
Cravo;50;1;30,40899305557723
Cravo;50;2;30,72434027779909
Cravo;50;3;28,87616319446624
Cravo;50;4;30,79961805557686
Cravo;50;5;29,20923611113194
Cravo;150;1;28,39529513891139
Cravo;150;2;24,58027777780626
Cravo;150;3;28,16611111113252
Cravo;150;4;24,13656250002823
Cravo;150;5;24,96545138891452
Cravo;300;1;15,64031250002227
Cravo;300;2;5,63098958334067
Cravo;300;3;14,60539930557570
Cravo;300;4;7,51217013889873
Cravo;300;5;10,94704861112659
Cravo;500;1;4,53749999999127
Cravo;500;2;4,53749999999127
Cravo;500;3;4,53749999999127
Cravo;500;4;4,53749999999127
Cravo;500;5;4,53749999999127
Lavanda;250;1;27,62008680557574
Lavanda;250;2;28,35343750001975
Lavanda;250;3;27,47904513890790
Lavanda;250;4;28,90762152779826
Lavanda;250;5;24,04449652779367
Lavanda;500;1;3,44963541666966
Lavanda;500;2;10,53673611112208
Lavanda;500;3;9,50078125001055
Lavanda;500;4;7,70461805556406
Lavanda;500;5;11,88199652779040
Lavanda;1000;1;0,00000000000000
Lavanda;1000;2;0,00000000000000
Lavanda;1000;3;0,00000000000000
Lavanda;1000;4;0,00000000000000
Lavanda;1000;5;0,00000000000000
Test;0;1;33,52154513890655
Test;0;2;33,91178819446159
Test;0;3;33,21664930557326
Test;0;4;34,29715277779432
Test;0;5;33,41450347223989
