trat;rep;ivcm
102B;1;1,675655167301703
102B;2;1,678332040622836
102B;3;1,611491788411272
102B;4;1,854197597469006
102B;5;1,691292415110888
111B;1;1,401870365663325
111B;2;1,473622778705703
111B;3;1,637130572259285
111B;4;1,407067548861213
111B;5;1,711956606394634
112B;1;1,365301946692338
112B;2;1,131152531104578
112B;3;1,357562569614383
112B;4;1,236495915367661
112B;5;1,150601257455303
1A;1;0,680716763573111
1A;2;0,773120558104132
1A;3;1,044992180810422
1A;4;0,922417490058184
1A;5;0,977385702479074
36A;1;1,217880289906310
36A;2;1,422689671289259
36A;3;1,115639854017532
36A;4;1,378010116828605
36A;5;1,398608573780879
36B;1;1,166782140750651
36B;2;1,075645560541102
36B;3;1,218307393049259
36B;4;1,154799515180860
36B;5;1,155517371223279
98A;1;1,508518944725011
98A;2;1,701468633909181
98A;3;1,509348666303299
98A;4;1,497366040733508
98A;5;1,569948175354174
99A;1;1,132875469719657
99A;2;1,258848701322939
99A;3;1,202410714567441
99A;4;1,182464980847957
99A;5;0,918505752732191
TCOM;1;1,442794500183860
TCOM;2;1,375923423470938
TCOM;3;1,581211804443430
TCOM;4;1,333146337701605
TCOM;5;1,562371950997331
TEST;1;2,398386052044596
TEST;2;2,412077770605079
TEST;3;2,433680169691896
TEST;4;2,406173799199916
TEST;5;2,360108540082916
